LocationName,Latitude,Longitude,Context,Sentiment,Confidence,Literature
Milldam,,,"At rumor of his arrival all the Milldam sportsmen are on the alert, in gigs and on foot, two by two and three by three, with patent rifles and conical balls and spyglasses.",neutral,93.6%,Walden
New York,40.7127753,-74.0059728,"It is said that loons have been caught in the New York lakes eighty feet beneath the surface, with hooks set for trout﻿—though Walden is deeper than that.",neutral,100.0%,Walden
Louisiana,30.5190775,-91.5208624,"For hours, in fall days, I watched the ducks cunningly tack and veer and hold the middle of the pond, far from the sportsman; tricks which they will have less need to practise in Louisiana bayous.",neutral,95.8%,Walden
Walden,,,"When compelled to rise they would sometimes circle round and round and over the pond at a considerable height, from which they could easily see to other ponds and the river, like black motes in the sky; and, when I thought they had gone off thither long since, they would settle down by a slanting flight of a quarter of a mile on to a distant part which was left free; but what beside safety they got by sailing in the middle of Walden I do not know, unless they love its water for the same reason that I do.






Colophon


Walden
			was published in 1854 by
Henry David Thoreau.",neutral,85.6%,Walden
New England,43.9653889,-70.8226541,"The buckeye does not grow in New England, and the mockingbird is rarely heard here.",neutral,100.0%,Walden
Canada,,,"The wild goose is more of a cosmopolite than we; he breaks his fast in Canada, takes a luncheon in the Ohio, and plumes himself for the night in a southern bayou.",neutral,100.0%,Walden
Ohio,40.4172871,-82.90712300000001,"The wild goose is more of a cosmopolite than we; he breaks his fast in Canada, takes a luncheon in the Ohio, and plumes himself for the night in a southern bayou.",neutral,100.0%,Walden
Colorado,39.5500507,-105.7820674,"Even the bison, to some extent, keeps pace with the seasons cropping the pastures of the Colorado only till a greener and sweeter grass awaits him by the Yellowstone.",neutral,95.4%,Walden
Yellowstone,,,"Even the bison, to some extent, keeps pace with the seasons cropping the pastures of the Colorado only till a greener and sweeter grass awaits him by the Yellowstone.",neutral,95.4%,Walden
Tierra del Fuego,,,"If you are chosen town clerk, forsooth, you cannot go to Tierra del Fuego this summer: but you may go to the land of infernal fire nevertheless.",neutral,89.3%,Walden
Africa,,,One hastens to southern Africa to chase the giraffe; but surely that is not the game he would be after.,neutral,83.2%,Walden
West,,,"”


What does Africa﻿—what does the West stand for? Is not our own interior white on the chart?",neutral,100.0%,Walden
Nile,,,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?",neutral,100.0%,Walden
Niger,,,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?",neutral,100.0%,Walden
Mississippi,32.3546679,-89.3985283,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?",neutral,100.0%,Walden
a Northwest Passage,,,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?",neutral,100.0%,Walden
the Mungo Park,,,"Be rather the Mungo Park, the Lewis and Clark and Frobisher, of your own streams and oceans; explore your own higher latitudes﻿—with shiploads of preserved meats to support you, if they be necessary; and pile the empty cans sky-high for a sign.",neutral,89.7%,Walden
the Lewis and Clark and,,,"Be rather the Mungo Park, the Lewis and Clark and Frobisher, of your own streams and oceans; explore your own higher latitudes﻿—with shiploads of preserved meats to support you, if they be necessary; and pile the empty cans sky-high for a sign.",neutral,89.7%,Walden
Frobisher,,,"Be rather the Mungo Park, the Lewis and Clark and Frobisher, of your own streams and oceans; explore your own higher latitudes﻿—with shiploads of preserved meats to support you, if they be necessary; and pile the empty cans sky-high for a sign.",neutral,89.7%,Walden
Atlantic,,,"What was the meaning of that South-Sea Exploring Expedition, with all its parade and expense, but an indirect recognition of the fact that there are continents and seas in the moral world to which every man is an isthmus or an inlet, yet unexplored by him, but that it is easier to sail many thousand miles through cold and storm and cannibals, in a government ship, with five hundred men and boys to assist one, than it is to explore the private sea, the Atlantic and Pacific Ocean of one’s being alone.",neutral,93.5%,Walden
Pacific Ocean,,,"What was the meaning of that South-Sea Exploring Expedition, with all its parade and expense, but an indirect recognition of the fact that there are continents and seas in the moral world to which every man is an isthmus or an inlet, yet unexplored by him, but that it is easier to sail many thousand miles through cold and storm and cannibals, in a government ship, with five hundred men and boys to assist one, than it is to explore the private sea, the Atlantic and Pacific Ocean of one’s being alone.",neutral,93.5%,Walden
Zanzibar,,,"“Erret, et extremos alter scrutetur Iberos.

lus habet hic vitae, plus habet ille viae.”


Let them wander and scrutinize the outlandish Australians.

I have more of God, they more of the road.


It is not worth the while to go round the world to count the cats in Zanzibar.",neutral,91.9%,Walden
England,,,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",neutral,87.1%,Walden
France,,,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",neutral,87.1%,Walden
Spain,,,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",neutral,87.1%,Walden
Portugal,,,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",neutral,87.1%,Walden
Gold Coast,,,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",neutral,87.1%,Walden
Slave Coast,,,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",neutral,87.1%,Walden
India,,,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",neutral,87.1%,Walden
Mississippi,32.3546679,-89.3985283,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.",neutral,100.0%,Walden
Pacific,,,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.",neutral,100.0%,Walden
China,,,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.",neutral,100.0%,Walden
Japan,,,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.",neutral,100.0%,Walden
England,,,"It is a ridiculous demand which England and America make, that you shall speak so that they can understand you.",neutral,81.0%,Walden
America,38.7945952,-106.5348379,"It is a ridiculous demand which England and America make, that you shall speak so that they can understand you.",neutral,81.0%,Walden
England,,,"While England endeavors to cure the potato-rot, will not any endeavor to cure the brain-rot, which prevails so much more widely and fatally?",neutral,83.1%,Walden
Cambridge,,,"Southern customers objected to its blue color, which is the evidence of its purity, as if it were muddy, and preferred the Cambridge ice, which is white, but tastes of weeds.",neutral,100.0%,Walden
Kouroo,,,There was an artist in the city of Kouroo who was disposed to strive after perfection.,neutral,80.2%,Walden
Kouroo,,,"Before he had found a stock in all respects suitable the city of Kouroo was a hoary ruin, and he sat on one of its mounds to peel the stick.",neutral,81.0%,Walden
California,36.778261,-119.4179324,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",neutral,88.1%,Walden
Texas,31.9685988,-99.9018131,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",neutral,88.1%,Walden
England,,,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",neutral,88.1%,Walden
Indies,,,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",neutral,88.1%,Walden
Georgia,,,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",neutral,88.1%,Walden
Massachusetts,42.4072107,-71.3824374,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",neutral,88.1%,Walden
China,,,"Consider the China pride and stagnant self-complacency of mankind. This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",neutral,81.0%,Walden
Boston,42.3555076,-71.0565364,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",neutral,81.9%,Walden
London,,,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",neutral,81.9%,Walden
Paris,,,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",neutral,81.9%,Walden
Rome,,,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",neutral,81.9%,Walden
Concord,,,"If we have had the seven-years’ itch, we have not seen the seventeen-year locust yet in Concord.",neutral,100.0%,Walden
the British Empire,,,"It is said that the British Empire is very large and respectable, and that the United States are a first-rate power.",neutral,75.1%,Walden
the United States,38.7945952,-106.5348379,"It is said that the British Empire is very large and respectable, and that the United States are a first-rate power.",neutral,75.1%,Walden
the British Empire,,,"We do not believe that a tide rises and falls behind every man which can float the British Empire like a chip, if he should ever harbor it in his mind.",neutral,91.8%,Walden
Britain,,,"The government of the world I live in was not framed, like that of Britain, in after-dinner conversations over the wine.",neutral,90.0%,Walden
New England,43.9653889,-70.8226541,"Everyone has heard the story which has gone the rounds of New England, of a strong and beautiful bug which came out of the dry leaf of an old table of apple-tree wood, which had stood in a farmer’s kitchen for sixty years, first in Connecticut, and afterward in Massachusetts﻿—from an egg deposited in the living tree many years earlier still, as appeared by counting the annual layers beyond it; which was heard gnawing out for several weeks, hatched perchance by the heat of an urn.",neutral,91.9%,Walden
Connecticut,41.6032207,-73.087749,"Everyone has heard the story which has gone the rounds of New England, of a strong and beautiful bug which came out of the dry leaf of an old table of apple-tree wood, which had stood in a farmer’s kitchen for sixty years, first in Connecticut, and afterward in Massachusetts﻿—from an egg deposited in the living tree many years earlier still, as appeared by counting the annual layers beyond it; which was heard gnawing out for several weeks, hatched perchance by the heat of an urn.",neutral,91.9%,Walden
Walden Pond,42.4387018,-71.3401284,"When I wrote the following pages, or rather the bulk of them, I lived alone, in the woods, a mile from any neighbor, in a house which I had built myself, on the shore of Walden Pond, in Concord, Massachusetts, and earned my living by the labor of my hands only.",neutral,95.7%,Walden
Concord,,,"When I wrote the following pages, or rather the bulk of them, I lived alone, in the woods, a mile from any neighbor, in a house which I had built myself, on the shore of Walden Pond, in Concord, Massachusetts, and earned my living by the labor of my hands only.",neutral,95.7%,Walden
Massachusetts,42.4072107,-71.3824374,"When I wrote the following pages, or rather the bulk of them, I lived alone, in the woods, a mile from any neighbor, in a house which I had built myself, on the shore of Walden Pond, in Concord, Massachusetts, and earned my living by the labor of my hands only.",neutral,95.7%,Walden
New England,43.9653889,-70.8226541,"I would fain say something, not so much concerning the Chinese and Sandwich Islanders as you who read these pages, who are said to live in New England; something about your condition, especially your outward condition or circumstances in this world, in this town, what it is, whether it is necessary that it be as bad as it is, whether it cannot be improved as well as not.",neutral,88.7%,Walden
Concord,,,"I have travelled a good deal in Concord; and everywhere, in shops, and offices, and fields, the inhabitants have appeared to me to be doing penance in a thousand remarkable ways.",neutral,80.0%,Walden
North,,,"I sometimes wonder that we can be so frivolous, I may almost say, as to attend to the gross but somewhat foreign form of servitude called Negro Slavery, there are so many keen and subtle masters that enslave both North and South.",neutral,66.6%,Walden
South,,,"I sometimes wonder that we can be so frivolous, I may almost say, as to attend to the gross but somewhat foreign form of servitude called Negro Slavery, there are so many keen and subtle masters that enslave both North and South.",neutral,66.6%,Walden
Tierra del Fuego,,,"Darwin, the naturalist, says of the inhabitants of Tierra del Fuego, that while his own party, who were well clothed and sitting close to a fire, were far from too warm, these naked savages, who were farther off, were observed, to his great surprise, “to be streaming with perspiration at undergoing such a roasting.”",neutral,70.6%,Walden
Elysian,,,"The summer, in some climates, makes possible to man a sort of Elysian life. Fuel, except to cook his Food, is then unnecessary; the sun is his fire, and many of the fruits are sufficiently cooked by its rays; while Food generally is more various, and more easily obtained, and Clothing and Shelter are wholly or half unnecessary.",neutral,91.5%,Walden
New England,43.9653889,-70.8226541,"Yet some, not wise, go to the other side of the globe, to barbarous and unhealthy regions, and devote themselves to trade for ten or twenty years, in order that they may live﻿—that is, keep comfortably warm﻿—and die in New England at last.",neutral,71.6%,Walden
Boston,42.3555076,-71.0565364,"No doubt, many of my townsmen have met me returning from this enterprise, farmers starting for Boston in the twilight, or woodchoppers going to their work.",neutral,83.6%,Walden
Walden Pond,42.4387018,-71.3401284,"My purpose in going to Walden Pond was not to live cheaply nor to live dearly there, but to transact some private business with the fewest obstacles; to be hindered from accomplishing which for want of a little common sense, a little enterprise and business talent, appeared not so sad as foolish.",neutral,71.4%,Walden
the Celestial Empire,,,"If your trade is with the Celestial Empire, then some small counting house on the coast, in some Salem harbor, will be fixture enough.",neutral,100.0%,Walden
Salem,,,"If your trade is with the Celestial Empire, then some small counting house on the coast, in some Salem harbor, will be fixture enough.",neutral,100.0%,Walden
Jersey,,,"To oversee all the details yourself in person; to be at once pilot and captain, and owner and underwriter; to buy and sell and keep the accounts; to read every letter received, and write or read every letter sent; to superintend the discharge of imports night and day; to be upon many parts of the coast almost at the same time﻿—often the richest freight will be discharged upon a Jersey shore;﻿—to",neutral,95.3%,Walden
La Prouse;﻿—universal,,,"be your own telegraph, unweariedly sweeping the horizon, speaking all passing vessels bound coastwise; to keep up a steady despatch of commodities, for the supply of such a distant and exorbitant market; to keep yourself informed of the state of the markets, prospects of war and peace everywhere, and anticipate the tendencies of trade and civilization﻿—taking advantage of the results of all exploring expeditions, using new passages and all improvements in navigation;﻿—charts to be studied, the position of reefs and new lights and buoys to be ascertained, and ever, and ever, the logarithmic tables to be corrected, for by the error of some calculator the vessel often splits upon a rock that should have reached a friendly pier﻿—there is the untold fate of La Prouse;﻿—universal science to be kept pace with, studying the lives of all great discoverers and navigators, great adventurers and merchants, from Hanno and the Phoenicians down to our day; in fine, account of stock to be taken from time to time, to know how you stand.",neutral,82.3%,Walden
Hanno,,,"be your own telegraph, unweariedly sweeping the horizon, speaking all passing vessels bound coastwise; to keep up a steady despatch of commodities, for the supply of such a distant and exorbitant market; to keep yourself informed of the state of the markets, prospects of war and peace everywhere, and anticipate the tendencies of trade and civilization﻿—taking advantage of the results of all exploring expeditions, using new passages and all improvements in navigation;﻿—charts to be studied, the position of reefs and new lights and buoys to be ascertained, and ever, and ever, the logarithmic tables to be corrected, for by the error of some calculator the vessel often splits upon a rock that should have reached a friendly pier﻿—there is the untold fate of La Prouse;﻿—universal science to be kept pace with, studying the lives of all great discoverers and navigators, great adventurers and merchants, from Hanno and the Phoenicians down to our day; in fine, account of stock to be taken from time to time, to know how you stand.",neutral,82.3%,Walden
Walden Pond,42.4387018,-71.3401284,"I have thought that Walden Pond would be a good place for business, not solely on account of the railroad and the ice trade; it offers advantages which it may not be good policy to divulge; it is a good port and a good foundation.",neutral,71.9%,Walden
Neva,,,No Neva marshes to be filled; though you must everywhere build on piles of your own driving.,neutral,87.9%,Walden
Neva,,,"It is said that a flood-tide, with a westerly wind, and ice in the Neva, would sweep St. Petersburg from the face of the earth.",neutral,100.0%,Walden
St.,,,"It is said that a flood-tide, with a westerly wind, and ice in the Neva, would sweep St. Petersburg from the face of the earth.",neutral,100.0%,Walden
Petersburg,37.2279279,-77.40192669999999,"It is said that a flood-tide, with a westerly wind, and ice in the Neva, would sweep St. Petersburg from the face of the earth.",neutral,100.0%,Walden
Russia,,,"When Madam Pfeiffer, in her adventurous travels round the world, from east to west, had got so near home as Asiatic Russia, she says that she felt the necessity of wearing other than a travelling dress, when she went to meet the authorities, for she “was now in a civilized country, where —﻿—﻿— people are judged of by their clothes.”",neutral,96.0%,Walden
New England,43.9653889,-70.8226541,"Even in our democratic New England towns the accidental possession of wealth, and its manifestation in dress and equipage alone, obtain for the possessor almost universal respect.",neutral,71.2%,Walden
Paris,,,"The head monkey at Paris puts on a traveller’s cap, and all the monkeys in America do the same.",neutral,100.0%,Walden
America,38.7945952,-106.5348379,"The head monkey at Paris puts on a traveller’s cap, and all the monkeys in America do the same.",neutral,100.0%,Walden
the Cannibal Islands,,,"We are amused at beholding the costume of Henry VIII, or Queen Elizabeth, as much as if it was that of the King and Queen of the Cannibal Islands.",neutral,90.9%,Walden
Rumford,44.5539111,-70.5510382,"An annual rent of from twenty-five to a hundred dollars (these are the country rates) entitles him to the benefit of the improvements of centuries, spacious apartments, clean paint and paper, Rumford fireplace, back plastering, Venetian blinds, copper pump, spring lock, a commodious cellar, and many other things.",neutral,84.3%,Walden
Israel,,,"“As I live, saith the Lord God, ye shall not have occasion any more to use this proverb in Israel.”",neutral,89.6%,Walden
Concord,,,"When I consider my neighbors, the farmers of Concord, who are at least as well off as the other classes, I find that for the most part they have been toiling twenty, thirty, or forty years, that they may become the real owners of their farms, which commonly they have inherited with encumbrances, or else bought with hired money﻿—and we may regard one third of that toil as the cost of their houses﻿—but commonly they have not paid for them yet.",neutral,97.4%,Walden
Concord,,,"I doubt if there are three such men in Concord. What has been said of the merchants, that a very large majority, even ninety-seven in a hundred, are sure to fail,",neutral,75.1%,Walden
England,,,"Such too, to a greater or less extent, is the condition of the operatives of every denomination in England, which is the great workhouse of the world.",neutral,78.4%,Walden
Ireland,,,"Or I could refer you to Ireland, which is marked as one of the white or enlightened spots on the map.",neutral,85.6%,Walden
States,38.7945952,-106.5348379,"I hardly need refer now to the laborers in our Southern States who produce the staple exports of this country, and are themselves a staple production of the South.",neutral,100.0%,Walden
South,,,"I hardly need refer now to the laborers in our Southern States who produce the staple exports of this country, and are themselves a staple production of the South.",neutral,100.0%,Walden
the Celestial Empire,,,"I think that in the railroad car we are inclined to spend more on luxury than on safety and convenience, and it threatens without attaining these to become no better than a modern drawing-room, with its divans, and ottomans, and sunshades, and a hundred other oriental things, which we are taking west with us, invented for the ladies of the harem and the effeminate natives of the Celestial Empire, which Jonathan should be ashamed to know the names of.",neutral,83.9%,Walden
the Province of New Netherland,,,"The secretary of the Province of New Netherland, writing in Dutch, in 1650, for the information of those who wished to take up land there, states more particularly that “those in New Netherland, and especially in New England, who have no means to build farmhouses at first according to their wishes, dig a square pit in the ground, cellar fashion, six or seven feet deep, as long and as broad as they think proper, case the earth inside with wood all round the wall, and line the wood with the bark of trees or something else to prevent the caving in of the earth; floor this cellar with plank, and wainscot it overhead for a ceiling, raise a roof of spars clear up, and cover the spars with bark or green sods, so that they can live dry and warm in these houses with their entire families for two, three, and four years, it being understood that partitions are run through those cellars which are adapted to the size of the family.",neutral,94.6%,Walden
New Netherland,,,"The secretary of the Province of New Netherland, writing in Dutch, in 1650, for the information of those who wished to take up land there, states more particularly that “those in New Netherland, and especially in New England, who have no means to build farmhouses at first according to their wishes, dig a square pit in the ground, cellar fashion, six or seven feet deep, as long and as broad as they think proper, case the earth inside with wood all round the wall, and line the wood with the bark of trees or something else to prevent the caving in of the earth; floor this cellar with plank, and wainscot it overhead for a ceiling, raise a roof of spars clear up, and cover the spars with bark or green sods, so that they can live dry and warm in these houses with their entire families for two, three, and four years, it being understood that partitions are run through those cellars which are adapted to the size of the family.",neutral,94.6%,Walden
New England,43.9653889,-70.8226541,"The secretary of the Province of New Netherland, writing in Dutch, in 1650, for the information of those who wished to take up land there, states more particularly that “those in New Netherland, and especially in New England, who have no means to build farmhouses at first according to their wishes, dig a square pit in the ground, cellar fashion, six or seven feet deep, as long and as broad as they think proper, case the earth inside with wood all round the wall, and line the wood with the bark of trees or something else to prevent the caving in of the earth; floor this cellar with plank, and wainscot it overhead for a ceiling, raise a roof of spars clear up, and cover the spars with bark or green sods, so that they can live dry and warm in these houses with their entire families for two, three, and four years, it being understood that partitions are run through those cellars which are adapted to the size of the family.",neutral,94.6%,Walden
New England,43.9653889,-70.8226541,"The wealthy and principal men in New England, in the beginning of the colonies, commenced their first dwelling-houses in this fashion for two reasons: firstly, in order not to waste time in building, and not to want food the next season; secondly, in order not to discourage poor laboring people whom they brought over in numbers from Fatherland.",neutral,82.9%,Walden
Walden Pond,42.4387018,-71.3401284,"Near the end of March, 1845, I borrowed an axe and went down to the woods by Walden Pond, nearest to where I intended to build my house, and began to cut down some tall, arrowy white pines, still in their youth, for timber.",neutral,92.0%,Walden
Troy,,,"He was there to represent spectatordom, and help make this seemingly insignificant event one with the removal of the gods of Troy.",neutral,79.7%,Walden
Concord,,,"I intend to build me a house which will surpass any on the main street in Concord in grandeur and luxury, as soon as it pleases me as much and will cost me no more than my present one.",neutral,80.4%,Walden
Neptune,,,"If I wished a boy to know something about the arts and sciences, for instance, I would not pursue the common course, which is merely to send him into the neighborhood of some professor, where anything is professed and practised but the art of life;﻿—to survey the world through a telescope or a microscope, and never with his natural eye; to study chemistry, and not learn how his bread is made, or mechanics, and not learn how it is earned; to discover new satellites to Neptune, and not detect the motes in his eyes, or to what vagabond he is a satellite himself; or to be devoured by the monsters that swarm all around him, while contemplating the monsters in a drop of vinegar.",neutral,95.6%,Walden
Boston,42.3555076,-71.0565364,"They are but improved means to an unimproved end, an end which it was already but too easy to arrive at; as railroads lead to Boston or New York.",neutral,77.1%,Walden
New York,40.7127753,-74.0059728,"They are but improved means to an unimproved end, an end which it was already but too easy to arrive at; as railroads lead to Boston or New York.",neutral,77.1%,Walden
Maine,45.253783,-69.4454689,"We are in great haste to construct a magnetic telegraph from Maine to Texas; but Maine and Texas, it may be, have nothing important to communicate.",neutral,83.8%,Walden
Texas,31.9685988,-99.9018131,"We are in great haste to construct a magnetic telegraph from Maine to Texas; but Maine and Texas, it may be, have nothing important to communicate.",neutral,83.8%,Walden
Atlantic,,,"We are eager to tunnel under the Atlantic and bring the Old World some weeks nearer to the New; but perchance the first news that will leak through into the broad, flapping American ear will be that the Princess Adelaide has the whooping cough.",neutral,89.6%,Walden
the Old World,,,"We are eager to tunnel under the Atlantic and bring the Old World some weeks nearer to the New; but perchance the first news that will leak through into the broad, flapping American ear will be that the Princess Adelaide has the whooping cough.",neutral,89.6%,Walden
