LocationName,Latitude,Longitude,Context,Sentiment,Confidence
Colorado,39.5500507,-105.7820674,"In fact he’d just been working on a ranch, Ed Wall’s in Colorado, before marrying Marylou and coming East.",neutral,100.0%
New York,40.7127753,-74.0059728,"Marylou was a pretty blonde with immense ringlets of hair like a sea of golden tresses; she sat there on the edge of the couch with her hands hanging in her lap and her smoky blue country eyes fixed in a wide stare because she was in an evil gray New York pad that she’d heard about back West, and waiting like a longbodied emaciated Modigliani surrealist woman in a serious room.",neutral,81.7%
Hoboken,40.7371004,-74.03130469999999,"Meanwhile Dean had gotten a job in a parking lot, had a fight with Marylou in their Hoboken apartment—God knows why they went there—and she was so mad and so down deep vindictive that she reported to the police some false trumped-up hysterical crazy charge, and Dean had to lam from Hoboken.",neutral,81.5%
Paterson,40.9190605,-74.17298199999999,"He came right out to Paterson, New Jersey, where I was living with my aunt, and one night while I was studying there was a knock on the door, and there was Dean, bowing, shuffling obsequiously in the dark of the hall, and saying, “Hel-lo, you remember me—Dean Moriarty?",neutral,100.0%
New Jersey,40.0583238,-74.4056612,"He came right out to Paterson, New Jersey, where I was living with my aunt, and one night while I was studying there was a knock on the door, and there was Dean, bowing, shuffling obsequiously in the dark of the hall, and saying, “Hel-lo, you remember me—Dean Moriarty?",neutral,100.0%
West,,,"Nonetheless we understood each other on other levels of madness, and I agreed that he could stay at my house till he found a job and furthermore we agreed to go out West sometime.",neutral,80.3%
New York,40.7127753,-74.0059728,"Then I dressed and off we flew to New York to meet some girls. As we rode in the bus in the weird phosphorescent void of the Lincoln Tunnel we leaned on each other with fingers waving and yelled and talked excitedly, and I was beginning to get the bug like Dean.",neutral,86.2%
New York,40.7127753,-74.0059728,"We went to New York—I forget what the situation was, two colored girls—there were no girls there; they were supposed to meet him in a diner and didn’t show up.",neutral,86.8%
Texas,31.9685988,-99.9018131,"Carlo told him of Old Bull Lee, Elmer Hassel, Jane: Lee in Texas growing weed, Hassel on Riker’s Island, Jane wandering on Times Square in a benzedrine hallucination, with her baby girl in her arms and ending up in Bellevue.",neutral,95.7%
Riker’s Island,40.79312770000001,-73.88601,"Carlo told him of Old Bull Lee, Elmer Hassel, Jane: Lee in Texas growing weed, Hassel on Riker’s Island, Jane wandering on Times Square in a benzedrine hallucination, with her baby girl in her arms and ending up in Bellevue.",neutral,95.7%
Bellevue,47.6101497,-122.2015159,"Carlo told him of Old Bull Lee, Elmer Hassel, Jane: Lee in Texas growing weed, Hassel on Riker’s Island, Jane wandering on Times Square in a benzedrine hallucination, with her baby girl in her arms and ending up in Bellevue.",neutral,95.7%
West,,,"And Dean told Carlo of unknown people in the West like Tommy Snark, the clubfooted poolhall rotation shark and cardplayer and queer saint.",neutral,89.8%
Germany,,,"What did they call such young people in Goethe’s Germany? Wanting dearly to learn how to write like Carlo, the first thing you know, Dean was attacking him with a great amorous soul such as only a con-man can have.",neutral,68.5%
West,,,"I was busily at work on my novel and when I came to the halfway mark, after a trip down South with my aunt to visit my brother Rocco, I got ready to travel West for the very first time.",neutral,87.6%
Denver,39.7392358,-104.990251,Dean was wearing a real Western business suit for his big trip back to Denver; he’d finished his first fling in New York.,neutral,100.0%
New York,40.7127753,-74.0059728,Dean was wearing a real Western business suit for his big trip back to Denver; he’d finished his first fling in New York.,neutral,100.0%
Denver,39.7392358,-104.990251,"Now he’d bought a new  suit to go back in; blue with pencil stripes, vest and all—eleven dollars on Third Avenue, with a watch and watch chain, and a portable typewriter with which he was going to start writing in a Denver rooming house as soon as he got a job there.",neutral,100.0%
Chicago,41.8781136,-87.6297982,"We had a farewell meal of franks and beans in a Seventh Avenue Riker‘s, and then Dean got on the bus that said Chicago and roared off into the night.",neutral,100.0%
Passaic,40.8566618,-74.1288878,"Yes, and it wasn’t only because I was a writer and needed new experiences that I wanted to know Dean more, and because my life hanging around the campus had reached the completion of its cycle and was stultified, but because, somehow in spite of our difference in character, he reminded me of some long-lost brother; the sight of his suffering bony face with the long sideburns and his straining muscular sweating neck made me remember my boyhood in those dye-dumps and swim-holes and riversides of Paterson and the Passaic.",neutral,84.8%
Plains,,,"And his “criminality” was not something that sulked and sneered; it was a wild yea-saying overburst of American joy; it was Western, the west wind, an ode from the  Plains, something new, long prophesied, long a-coming (he only stole cars for joy rides).",neutral,84.0%
New York,40.7127753,-74.0059728,"Besides, all my New York friends were in the negative, nightmare position of putting down society and giving their tired bookish or political or psychoanalytical reasons, but Dean just raced in society, eager for bread and love; he didn’t care one way or the other, “so long’s I can get that lil ole gal with that lil sumpin down there tween her legs, boy,” and “so long’s we can eat, son,",neutral,74.6%
the West Coast,62.4113634,-149.0729715,"In the month of July 1947, having saved about fifty dollars from old veteran benefits, I was ready to go to the West Coast.",neutral,71.7%
San Francisco,37.7749295,-122.4194155,"My friend Remi Boncœur had written me a letter from San Francisco, saying I should come and ship out with him on an around-the-world liner.",neutral,87.3%
Pacific,,,I wrote back and said I’d be satisfied with any old freighter so long as I could take a few long Pacific trips and come back with enough money to support myself in my aunt’s house while I finished my book.,neutral,86.4%
Mill City,44.7540106,-122.4781385,He said he had a shack in Mill City and I would have all the time in the world to write there while we went through the rigmarole of getting the ship.,neutral,100.0%
Paris,,,"Remi was an old prep-school friend, a Frenchman brought up in Paris and a really mad guy—I didn’t know how mad at this time.",neutral,65.1%
the Pacific Ocean,,,"So, leaving my big half-manuscript sitting on top of my desk, and folding back my comfortable home sheets for the last time one morning, I left with my canvas bag in which a few fundamental things were packed and took off for the Pacific Ocean with the fifty dollars in my pocket.",neutral,90.4%
the United States,38.7945952,-106.5348379,"I’d been poring over maps of the United States in Paterson for months, even reading books about the pioneers and savoring names like Platte and Cimarron and so on, and on the roadmap was one long red line called Route 6 that led from the tip of Cape Cod clear to Ely, Nevada, and there dipped down to Los Angeles.",neutral,87.6%
Paterson,40.9190605,-74.17298199999999,"I’d been poring over maps of the United States in Paterson for months, even reading books about the pioneers and savoring names like Platte and Cimarron and so on, and on the roadmap was one long red line called Route 6 that led from the tip of Cape Cod clear to Ely, Nevada, and there dipped down to Los Angeles.",neutral,87.6%
Cape Cod,41.6687897,-70.29624079999999,"I’d been poring over maps of the United States in Paterson for months, even reading books about the pioneers and savoring names like Platte and Cimarron and so on, and on the roadmap was one long red line called Route 6 that led from the tip of Cape Cod clear to Ely, Nevada, and there dipped down to Los Angeles.",neutral,87.6%
Ely,,,"I’d been poring over maps of the United States in Paterson for months, even reading books about the pioneers and savoring names like Platte and Cimarron and so on, and on the roadmap was one long red line called Route 6 that led from the tip of Cape Cod clear to Ely, Nevada, and there dipped down to Los Angeles.",neutral,87.6%
Nevada,38.8026097,-116.419389,"I’d been poring over maps of the United States in Paterson for months, even reading books about the pioneers and savoring names like Platte and Cimarron and so on, and on the roadmap was one long red line called Route 6 that led from the tip of Cape Cod clear to Ely, Nevada, and there dipped down to Los Angeles.",neutral,87.6%
Los Angeles,34.0549076,-118.242643,"I’d been poring over maps of the United States in Paterson for months, even reading books about the pioneers and savoring names like Platte and Cimarron and so on, and on the roadmap was one long red line called Route 6 that led from the tip of Cape Cod clear to Ely, Nevada, and there dipped down to Los Angeles.",neutral,87.6%
Ely,,,"‘I’ll just stay on 6 all the way to Ely, I said to myself and confidently started.",neutral,81.9%
Bear Mountain,41.3132651,-73.9886424,"To get to 6 I had to go up to Bear Mountain. Filled with dreams of what I’d do in Chicago, in Denver, and then finally in San Fran, I took the Seventh Avenue subway to the end of the line at 242nd Street, and there took a trolley into Yonkers; in downtown Yonkers I transferred to an outgoing trolley and went to the city limits on the east bank of the Hudson River.",neutral,93.2%
Chicago,41.8781136,-87.6297982,"Filled with dreams of what I’d do in Chicago, in Denver, and then finally in San Fran, I took the Seventh Avenue subway to the end of the line at 242nd Street, and there took a trolley into Yonkers; in downtown Yonkers I transferred to an outgoing trolley and went to the city limits on the east bank of the Hudson River.",neutral,92.1%
Denver,39.7392358,-104.990251,"Filled with dreams of what I’d do in Chicago, in Denver, and then finally in San Fran, I took the Seventh Avenue subway to the end of the line at 242nd Street, and there took a trolley into Yonkers; in downtown Yonkers I transferred to an outgoing trolley and went to the city limits on the east bank of the Hudson River.",neutral,92.1%
San Fran,37.7749295,-122.4194155,"Filled with dreams of what I’d do in Chicago, in Denver, and then finally in San Fran, I took the Seventh Avenue subway to the end of the line at 242nd Street, and there took a trolley into Yonkers; in downtown Yonkers I transferred to an outgoing trolley and went to the city limits on the east bank of the Hudson River.",neutral,92.1%
Yonkers,40.93185889999999,-73.899008,"Filled with dreams of what I’d do in Chicago, in Denver, and then finally in San Fran, I took the Seventh Avenue subway to the end of the line at 242nd Street, and there took a trolley into Yonkers; in downtown Yonkers I transferred to an outgoing trolley and went to the city limits on the east bank of the Hudson River.",neutral,92.1%
the Hudson River,42.40304607147986,-73.88867269396277,"Filled with dreams of what I’d do in Chicago, in Denver, and then finally in San Fran, I took the Seventh Avenue subway to the end of the line at 242nd Street, and there took a trolley into Yonkers; in downtown Yonkers I transferred to an outgoing trolley and went to the city limits on the east bank of the Hudson River.",neutral,92.1%
the Hudson River,42.40304607147986,-73.88867269396277,"If you drop a rose in the Hudson River at its mysterious source in the Adiron dacks, think of all the places it journeys by as it goes out to sea forever—think of that wonderful Hudson Valley.",neutral,85.4%
the Adiron dacks,,,"If you drop a rose in the Hudson River at its mysterious source in the Adiron dacks, think of all the places it journeys by as it goes out to sea forever—think of that wonderful Hudson Valley.",neutral,85.4%
Hudson Valley,41.9209018,-73.9612887,"If you drop a rose in the Hudson River at its mysterious source in the Adiron dacks, think of all the places it journeys by as it goes out to sea forever—think of that wonderful Hudson Valley.",neutral,85.4%
New England,43.9653889,-70.8226541,"Five scattered rides took me to the desired Bear Mountain Bridge, where Route 6 arched in from New England.",neutral,89.0%
New York,40.7127753,-74.0059728,"I was forty miles north of New York; all the way up I’d been worried about the fact that on this, my big opening day, I was only moving north instead of the so-longed-for west.",neutral,93.6%
Bear Mountain,41.3132651,-73.9886424,High up over my head the great hairy Bear Mountain sent down thunderclaps that put the fear of God in me.,neutral,65.7%
Chicago,41.8781136,-87.6297982,"“What the hell am I doing up here?” I cursed, I cried for Chicago. “Even now they’re all having a big time, they’re doing this, I’m not there, when will I get there!”—and so on.",neutral,78.9%
America,38.7945952,-106.5348379,"My shoes, damn  fool that I am, were Mexican huaraches, plantlike sieves not fit for the rainy night of America and the raw road night.",neutral,68.9%
Newburgh,41.5034271,-74.0104178,"But the people let me in and rode me north to Newburgh, which I accepted as a better alternative than being trapped in the Bear Mountain wilderness all night.",neutral,68.4%
Bear Mountain,41.3132651,-73.9886424,"But the people let me in and rode me north to Newburgh, which I accepted as a better alternative than being trapped in the Bear Mountain wilderness all night.",neutral,68.4%
Chicago,41.8781136,-87.6297982,"If you want to go to Chicago you’d do better going across the Holland Tunnel in New York and head for Pittsburgh,” and I knew he was right.",neutral,85.6%
New York,40.7127753,-74.0059728,"If you want to go to Chicago you’d do better going across the Holland Tunnel in New York and head for Pittsburgh,” and I knew he was right.",neutral,85.6%
Pittsburgh,40.4386612,-79.99723519999999,"If you want to go to Chicago you’d do better going across the Holland Tunnel in New York and head for Pittsburgh,” and I knew he was right.",neutral,85.6%
America,38.7945952,-106.5348379,"It was my dream that screwed up, the stupid hearthside idea that it would be wonderful to follow one great red line across America instead of trying various roads and routes.",neutral,61.3%
Newburgh,41.5034271,-74.0104178,"In Newburgh it had stopped raining. I walked down to the river, and I had to ride back to New York in a bus with a delegation of schoolteachers coming back from a weekend in the mountains—chatter-chatter blah-blah, and me swearing for all the time and the money I’d wasted, and telling myself, I wanted to go west and here I’ve been all day and into the night going up and down, north and south, like something that can’t get started.",neutral,88.1%
New York,40.7127753,-74.0059728,"I walked down to the river, and I had to ride back to New York in a bus with a delegation of schoolteachers coming back from a weekend in the mountains—chatter-chatter blah-blah, and me swearing for all the time and the money I’d wasted, and telling myself, I wanted to go west and here I’ve been all day and into the night going up and down, north and south, like something that can’t get started.",neutral,89.6%
Chicago,41.8781136,-87.6297982,"And I swore I’d be in Chicago tomorrow, and made sure of that, taking a bus to Chicago, spending most of my money, and didn’t give a damn, just as long as I’d be in Chicago tomorrow.",neutral,86.5%
Penn,41.2033216,-77.1945247,"3
It was an ordinary bus trip with crying babies and hot sun, and countryfolk getting on at one Penn town after another, till we got on the plain of Ohio and really rolled, up by Ashtabula and straight across Indiana in the night.",neutral,89.1%
Ohio,40.4172871,-82.90712300000001,"3
It was an ordinary bus trip with crying babies and hot sun, and countryfolk getting on at one Penn town after another, till we got on the plain of Ohio and really rolled, up by Ashtabula and straight across Indiana in the night.",neutral,89.1%
Ashtabula,41.8650534,-80.7898089,"3
It was an ordinary bus trip with crying babies and hot sun, and countryfolk getting on at one Penn town after another, till we got on the plain of Ohio and really rolled, up by Ashtabula and straight across Indiana in the night.",neutral,89.1%
Indiana,40.5512165,-85.60236429999999,"3
It was an ordinary bus trip with crying babies and hot sun, and countryfolk getting on at one Penn town after another, till we got on the plain of Ohio and really rolled, up by Ashtabula and straight across Indiana in the night.",neutral,89.1%
Chi,,,"I arrived in Chi quite early in the morning, got a room in the Y, and went to bed with a very few dollars in my pocket.",neutral,100.0%
Chicago,41.8781136,-87.6297982,I dug Chicago after a good day’s sleep. ,neutral,63.3%
Lake Michigan,43.4501005,-87.22201869999999,"The wind from Lake Michigan, bop at the Loop, long walks around South Halsted and North Clark, and one long walk after midnight into the jungles, where a cruising car followed me as a suspicious character.",neutral,93.0%
South Halsted,41.7566274,-87.6441992,"The wind from Lake Michigan, bop at the Loop, long walks around South Halsted and North Clark, and one long walk after midnight into the jungles, where a cruising car followed me as a suspicious character.",neutral,93.0%
North Clark,41.9472129,-87.6565258,"The wind from Lake Michigan, bop at the Loop, long walks around South Halsted and North Clark, and one long walk after midnight into the jungles, where a cruising car followed me as a suspicious character.",neutral,93.0%
America,38.7945952,-106.5348379,"At this time, 1947, bop was going like mad all over America. The fellows at the Loop blew, but with a tired air, because bop was somewhere between its Charlie Parker Ornithology period and another period that began with Miles Davis.",neutral,82.8%
West,,,"And for the first time in my life, the following afternoon, I went into the West.",neutral,100.0%
Chicago,41.8781136,-87.6297982,"To get out of the impossible complexities of Chicago traffic I took a bus to Joliet, Illinois, went by the Joliet pen, stationed myself just outside town after a walk through its leafy rickety streets behind, and pointed my way.",neutral,100.0%
Joliet,41.5244335,-88.0854555,"To get out of the impossible complexities of Chicago traffic I took a bus to Joliet, Illinois, went by the Joliet pen, stationed myself just outside town after a walk through its leafy rickety streets behind, and pointed my way.",neutral,100.0%
Illinois,40.6331249,-89.3985283,"To get out of the impossible complexities of Chicago traffic I took a bus to Joliet, Illinois, went by the Joliet pen, stationed myself just outside town after a walk through its leafy rickety streets behind, and pointed my way.",neutral,100.0%
New York,40.7127753,-74.0059728,"All the way from  New York to Joliet by bus, and I had spent more than half my money.",neutral,100.0%
Joliet,41.5244335,-88.0854555,"All the way from  New York to Joliet by bus, and I had spent more than half my money.",neutral,100.0%
Illinois,40.6331249,-89.3985283,"My first ride was a dynamite truck with a red flag, about thirty miles into great green Illinois, the truckdriver pointing out the place where Route 6, which we were on, intersects Route 66 before they both shoot west for incredible distances.",neutral,81.9%
Iowa,41.8780025,-93.097702,"But she was a middle-aged woman, actually the mother of sons my age, and wanted somebody to help her drive to Iowa.",neutral,84.9%
Iowa,41.8780025,-93.097702,"Iowa! Not so far from Denver, and once I got to Denver I could relax.",neutral,79.0%
Denver,39.7392358,-104.990251,"Not so far from Denver, and once I got to Denver I could relax. She drove the first few hours, at one point insisted on visiting an old church somewhere, as if we were tourists, and then I took over the wheel and, though I’m not much of a driver, drove clear through the rest of Illinois to Davenport, Iowa, via Rock Island.",neutral,91.2%
Illinois,40.6331249,-89.3985283,"She drove the first few hours, at one point insisted on visiting an old church somewhere, as if we were tourists, and then I took over the wheel and, though I’m not much of a driver, drove clear through the rest of Illinois to Davenport, Iowa, via Rock Island.",neutral,94.7%
Davenport,41.5237912,-90.57658699999999,"She drove the first few hours, at one point insisted on visiting an old church somewhere, as if we were tourists, and then I took over the wheel and, though I’m not much of a driver, drove clear through the rest of Illinois to Davenport, Iowa, via Rock Island.",neutral,94.7%
Iowa,41.8780025,-93.097702,"She drove the first few hours, at one point insisted on visiting an old church somewhere, as if we were tourists, and then I took over the wheel and, though I’m not much of a driver, drove clear through the rest of Illinois to Davenport, Iowa, via Rock Island.",neutral,94.7%
Rock Island,41.5094771,-90.5787476,"She drove the first few hours, at one point insisted on visiting an old church somewhere, as if we were tourists, and then I took over the wheel and, though I’m not much of a driver, drove clear through the rest of Illinois to Davenport, Iowa, via Rock Island.",neutral,94.7%
Mississippi River,38.33490474047736,-92.21139142634433,"And here for the first time in my life I saw my beloved Mississippi River, dry in the summer haze, low water, with its big rank smell that smells like the raw body of America itself because it washes it up.",neutral,82.4%
America,38.7945952,-106.5348379,"And here for the first time in my life I saw my beloved Mississippi River, dry in the summer haze, low water, with its big rank smell that smells like the raw body of America itself because it washes it up.",neutral,82.4%
Rock Island,41.5094771,-90.5787476,"Rock Island—railroad tracks, shacks, small downtown section; and over the bridge to Davenport, same kind of town, all smelling of sawdust in the warm midwest sun.",neutral,92.9%
Davenport,41.5237912,-90.57658699999999,"Rock Island—railroad tracks, shacks, small downtown section; and over the bridge to Davenport, same kind of town, all smelling of sawdust in the warm midwest sun.",neutral,92.9%
Iowa,41.8780025,-93.097702,"Here the lady had to go on to her Iowa hometown by another route, and I got out.",neutral,100.0%
Iowa,41.8780025,-93.097702,There weren’t even any lights in the Iowa countryside; in a minute nobody would be able to see me.,neutral,100.0%
Davenport,41.5237912,-90.57658699999999,Luckily a man going back to Davenport gave me a lift downtown. But I was right where I started from.,neutral,87.5%
Davenport,41.5237912,-90.57658699999999,"I took a bus in downtown Davenport, after spending a half-hour watching a waitress in the bus-station café, and rode to the city limits, but this time near the gas stations.",neutral,100.0%
Iowa City,41.6578257,-91.53461689999999,"And he balled that thing clear to Iowa City and yelled me the funniest stories about how he got around the law in every town that had an unfair speed limit, saying over and over again, “Them goddam cops can’t put no flies on my ass!”",neutral,72.8%
Iowa City,41.6578257,-91.53461689999999,"Just as we rolled into Iowa City he saw another truck coming behind us, and because he had to turn off at Iowa City he blinked his tail lights at the other guy and slowed down for me to jump out, which I did with my bag, and the other truck, acknowledging this exchange, stopped for me, and once again, in the twink of nothing, I was in another big high cab, all set to go hundreds of miles across the night, and was I happy!",neutral,93.2%
Denver,39.7392358,-104.990251,"Now I could see Denver looming ahead of me like the Promised Land, way out there beneath the stars, across the prairie of Iowa and the plains of Nebraska, and I could see the greater vision of San Francisco beyond, like jewels in the night.",neutral,68.6%
the Promised Land,,,"Now I could see Denver looming ahead of me like the Promised Land, way out there beneath the stars, across the prairie of Iowa and the plains of Nebraska, and I could see the greater vision of San Francisco beyond, like jewels in the night.",neutral,68.6%
Iowa,41.8780025,-93.097702,"Now I could see Denver looming ahead of me like the Promised Land, way out there beneath the stars, across the prairie of Iowa and the plains of Nebraska, and I could see the greater vision of San Francisco beyond, like jewels in the night.",neutral,68.6%
Nebraska,41.4925374,-99.9018131,"Now I could see Denver looming ahead of me like the Promised Land, way out there beneath the stars, across the prairie of Iowa and the plains of Nebraska, and I could see the greater vision of San Francisco beyond, like jewels in the night.",neutral,68.6%
San Francisco,37.7749295,-122.4194155,"Now I could see Denver looming ahead of me like the Promised Land, way out there beneath the stars, across the prairie of Iowa and the plains of Nebraska, and I could see the greater vision of San Francisco beyond, like jewels in the night.",neutral,68.6%
Iowa,41.8780025,-93.097702,"He balled the jack and told stories for a couple of hours, then, at a town in Iowa where years later Dean and I were stopped on suspicion in what looked like a stolen Cadillac, he slept a few hours in the seat.",neutral,76.9%
Des Moines,41.5896139,-93.61639629999999,"Off we roared, and an hour later the smoke of Des Moines appeared ahead over the green cornfields.",neutral,100.0%
Des Moines,41.5896139,-93.61639629999999,"He had to eat his breakfast now and wanted to take it easy, so I went right on into Des Moines, about four miles, hitching a ride with two boys from the University of Iowa; and it was strange sitting in their brand-new comfortable car and hearing them talk of exams as we zoomed smoothly into town.",neutral,86.7%
Des Moines,41.5896139,-93.61639629999999,"So I went to the Y to get a room; they didn’t have any, and by instinct I wandered down to the railroad tracks—and there’re a lot of them in Des Moines—and wound up in a gloomy old Plains inn of a hotel by the locomotive roundhouse, and spent a long day sleeping on a big clean hard white bed with dirty remarks carved in the wall beside my pillow and the beat yellow windowshades pulled over the smoky scene of the railyards.",neutral,89.1%
Plains,,,"So I went to the Y to get a room; they didn’t have any, and by instinct I wandered down to the railroad tracks—and there’re a lot of them in Des Moines—and wound up in a gloomy old Plains inn of a hotel by the locomotive roundhouse, and spent a long day sleeping on a big clean hard white bed with dirty remarks carved in the wall beside my pillow and the beat yellow windowshades pulled over the smoky scene of the railyards.",neutral,89.1%
America,38.7945952,-106.5348379,"I was halfway across America, at the dividing line between the East of my youth and the West of my future, and maybe that’s why it happened right there and then, that strange red afternoon.",neutral,94.8%
East,,,"I was halfway across America, at the dividing line between the East of my youth and the West of my future, and maybe that’s why it happened right there and then, that strange red afternoon.",neutral,94.8%
West,,,"I was halfway across America, at the dividing line between the East of my youth and the West of my future, and maybe that’s why it happened right there and then, that strange red afternoon.",neutral,94.8%
Iowa,41.8780025,-93.097702,"I ate apple pie and ice cream—it was getting better as I got deeper into Iowa, the pie bigger, the ice cream richer.",neutral,75.1%
Des Moines,41.5896139,-93.61639629999999,There were the most beautiful bevies of girls everywhere I looked in Des Moines that afternoon—they were coming home from high school—but I had no time now for thoughts like that and promised myself a ball in Denver.,neutral,73.1%
Denver,39.7392358,-104.990251,There were the most beautiful bevies of girls everywhere I looked in Des Moines that afternoon—they were coming home from high school—but I had no time now for thoughts like that and promised myself a ball in Denver.,neutral,73.1%
Denver,39.7392358,-104.990251,"Carlo Marx was already in Denver; Dean was there; Chad King and Tim Gray were there, it was",neutral,100.0%
Des Moines,41.5896139,-93.61639629999999,"So I rushed past the pretty girls, and the prettiest girls in the world live in Des Moines.",neutral,68.5%
Adel,,,"A guy with a kind of toolshack on wheels, a truck full of tools that he drove standing up like a modern milkman, gave me a ride up the long hill, where I immediately got a ride from a farmer and his son heading out for Adel in Iowa.",neutral,94.1%
Iowa,41.8780025,-93.097702,"A guy with a kind of toolshack on wheels, a truck full of tools that he drove standing up like a modern milkman, gave me a ride up the long hill, where I immediately got a ride from a farmer and his son heading out for Adel in Iowa.",neutral,94.1%
Denver,39.7392358,-104.990251,"In this town, under a big elm tree near a gas station, I made the acquaintance of another hitchhiker, a typical New Yorker, an Irishman who’d been driving a truck for the post office most of his work years and was now headed for a girl in Denver and a new life.",neutral,100.0%
New York,40.7127753,-74.0059728,"I think he was running away from something in New York, the law most likely.",neutral,100.0%
Stuart,27.197548,-80.2528257,"But we stuck together and got a ride with a taciturn man to Stuart, Iowa, a town in which we were really stranded.",neutral,88.4%
Iowa,41.8780025,-93.097702,"But we stuck together and got a ride with a taciturn man to Stuart, Iowa, a town in which we were really stranded.",neutral,88.4%
Stuart,27.197548,-80.2528257,"We stood in front of the railroad-ticket shack in Stuart, waiting for the westbound traffic till the sun went down, a good five hours, dawdling away the time, at first telling about ourselves, then he told dirty stories, then we just kicked pebbles and made goofy noises of one kind and another.",neutral,83.9%
Stuart,27.197548,-80.2528257,I decided to spend a buck on beer; we went to an old saloon in Stuart and had a few.,neutral,100.0%
Omaha,41.2565369,-95.9345034,So when the Omaha bus came through just before dawn we hopped on it and joined the sleeping passengers—I paid for his fare as well as mine.,neutral,92.5%
Bronx,40.8447819,-73.8648268,He reminded me of my cousin-in-law from the Bronx. That was why I stuck with him.,neutral,87.5%
Council Bluffs,41.2619444,-95.8608333,"We arrived at Council Bluffs at dawn; I looked out. All winter I’d been reading of the great wagon parties that held council there before hitting the Oregon and Santa Fe trails; and of course now it was only cute suburban cottages of one damn kind and another, all laid out in the dismal gray dawn.",neutral,71.1%
Oregon,43.8041334,-120.5542012,"All winter I’d been reading of the great wagon parties that held council there before hitting the Oregon and Santa Fe trails; and of course now it was only cute suburban cottages of one damn kind and another, all laid out in the dismal gray dawn.",neutral,66.8%
Omaha,41.2565369,-95.9345034,"Then Omaha, and, by God, the first cowboy I saw, walking along the bleak walls of the wholesale meat warehouses in a ten-gallon hat and Texas boots, looked liked any beat character of the brickwall dawns of the East except for the getup.",neutral,88.8%
Texas,31.9685988,-99.9018131,"Then Omaha, and, by God, the first cowboy I saw, walking along the bleak walls of the wholesale meat warehouses in a ten-gallon hat and Texas boots, looked liked any beat character of the brickwall dawns of the East except for the getup.",neutral,88.8%
East,,,"Then Omaha, and, by God, the first cowboy I saw, walking along the bleak walls of the wholesale meat warehouses in a ten-gallon hat and Texas boots, looked liked any beat character of the brickwall dawns of the East except for the getup.",neutral,88.8%
Missouri,37.9642529,-91.8318334,"We got off the bus and walked clear up the hill, the long hill formed over the millenniums by the mighty Missouri, alongside of which Omaha is built, and got out to the country and stuck our thumbs out.",neutral,88.9%
